Date,Coal,Hydro,Gas,Nuclear,Other,Petroleum,Solar,Wind
1/30/22 8:00 AM,292,1597,10501,2260,786,46,0,1047
1/30/22 7:00 AM,293,2074,10679,2261,1015,46,-8,1001
1/30/22 6:00 AM,293,2156,11013,2259,853,46,-8,1032
1/30/22 5:00 AM,293,2561,11546,2260,922,46,3,1035
1/30/22 4:00 AM,293,2662,11768,2259,1175,46,3,830
1/30/22 3:00 AM,292,2745,12516,2258,1064,46,0,731
1/30/22 2:00 AM,293,2797,12181,2260,1296,46,1,577
1/30/22 1:00 AM,294,2904,10841,2259,1000,46,346,417
1/30/22 12:00 AM,295,2331,8889,2258,642,46,2745,387
1/29/22 11:00 PM,294,1587,7335,2258,625,46,4512,388
1/29/22 10:00 PM,295,1134,6872,2259,491,46,6241,411
1/29/22 9:00 PM,295,1093,6970,2258,483,46,6625,529
1/29/22 8:00 PM,294,1093,7045,2260,477,46,6621,616
1/29/22 7:00 PM,294,1208,7537,2260,480,46,7345,716
1/29/22 6:00 PM,293,1348,7366,2263,587,46,6392,727
1/29/22 5:00 PM,293,1524,7488,2262,608,46,5643,747
1/29/22 4:00 PM,292,1946,8754,2263,669,45,3375,984
1/29/22 3:00 PM,294,2076,10577,2262,672,46,330,1028
1/29/22 2:00 PM,292,2045,9811,2263,650,46,-7,1131
1/29/22 1:00 PM,293,1772,9674,2263,578,46,-6,1063
1/29/22 12:00 PM,291,1464,10030,2261,528,46,-6,986
1/29/22 11:00 AM,291,1316,10469,2262,541,46,-6,922
1/29/22 10:00 AM,291,1301,10475,2262,590,46,-6,894
1/29/22 9:00 AM,291,1557,10886,2261,601,46,-9,976
1/29/22 8:00 AM,291,1425,11555,2261,607,46,-9,1231
1/29/22 7:00 AM,292,1549,12315,2260,758,46,-9,1284
1/29/22 6:00 AM,295,1695,13563,2260,756,46,-3,1315
1/29/22 5:00 AM,296,2112,13996,2261,1323,46,-3,967
1/29/22 4:00 AM,294,2529,14430,2261,1067,46,-1,815
1/29/22 3:00 AM,293,2449,14949,2260,1463,46,-3,850
1/29/22 2:00 AM,295,2555,15764,2263,1567,46,181,1221
1/29/22 1:00 AM,295,2400,12746,2260,1302,46,446,1244
1/29/22 12:00 AM,294,1725,9559,2261,519,46,4881,1584
1/28/22 11:00 PM,291,1254,8132,2260,498,46,7856,1775
1/28/22 10:00 PM,291,1221,8044,2261,478,46,9298,1695
1/28/22 9:00 PM,294,1051,8109,2259,476,46,9880,1602
1/28/22 8:00 PM,293,1214,7817,2260,478,46,10466,1319
1/28/22 7:00 PM,293,1167,8125,2261,551,46,10324,1262
1/28/22 6:00 PM,292,1338,8281,2261,578,46,9057,1266
1/28/22 5:00 PM,291,1449,9565,2261,773,46,7683,1146
1/28/22 4:00 PM,292,1926,12263,2263,764,46,4038,1263
1/28/22 3:00 PM,292,2212,14607,2263,1070,46,458,1259
1/28/22 2:00 PM,293,1847,13210,2262,826,46,-7,1301
1/28/22 1:00 PM,293,1506,12108,2263,583,46,-6,1273
1/28/22 12:00 PM,292,1360,11534,2262,585,46,-6,1419
1/28/22 11:00 AM,293,1276,11831,2262,582,46,-6,1360
1/28/22 10:00 AM,292,1249,11968,2261,577,46,-6,1175
1/28/22 9:00 AM,293,1278,11996,2259,610,46,-9,1400
1/28/22 8:00 AM,293,1463,11589,2260,614,46,-9,1552
1/28/22 7:00 AM,294,1430,12071,2261,713,46,-9,1770
1/28/22 6:00 AM,295,1497,12643,2264,715,46,14,1971
1/28/22 5:00 AM,295,1961,12850,2261,1215,46,31,1671
1/28/22 4:00 AM,295,2184,13368,2261,1249,46,33,1548
1/28/22 3:00 AM,295,2198,14094,2260,1202,46,42,1571
1/28/22 2:00 AM,294,2300,14321,2261,1544,46,32,1409
1/28/22 1:00 AM,294,2000,12588,2262,1567,46,476,1328
1/28/22 12:00 AM,296,1661,8798,2259,593,46,6191,1369
1/27/22 11:00 PM,296,1079,6618,2260,473,46,10811,1322
1/27/22 10:00 PM,294,1011,6100,2261,436,46,12001,1226
1/27/22 9:00 PM,295,1016,5975,2258,430,46,11898,1056
1/27/22 8:00 PM,295,1077,5711,2258,445,46,11755,980
1/27/22 7:00 PM,296,1102,5764,2258,461,46,11856,765
1/27/22 6:00 PM,295,1126,6475,2261,491,46,12019,668
1/27/22 5:00 PM,294,1319,7728,2259,527,46,11076,685
1/27/22 4:00 PM,295,1831,11704,2261,774,46,6088,658
1/27/22 3:00 PM,295,1950,15915,2261,966,46,418,688
1/27/22 2:00 PM,296,1735,14306,2262,722,46,0,570
1/27/22 1:00 PM,295,1544,12506,2261,565,46,0,580
1/27/22 12:00 PM,295,1348,12230,2260,567,46,0,615
1/27/22 11:00 AM,294,1260,11952,2261,572,46,0,573
1/27/22 10:00 AM,294,1270,11569,2261,566,46,0,653
1/27/22 9:00 AM,293,1338,11908,2261,584,46,0,691
1/27/22 8:00 AM,292,1452,11781,2261,587,46,0,694
1/27/22 7:00 AM,292,1875,12340,2261,643,46,-9,657
1/27/22 6:00 AM,290,2027,13635,2260,815,46,-9,722
1/27/22 5:00 AM,292,2139,14153,2260,1387,46,-4,760
1/27/22 4:00 AM,292,2160,14622,2261,1379,46,-1,717
1/27/22 3:00 AM,293,2322,15089,2259,1441,46,-4,696
1/27/22 2:00 AM,294,2539,15164,2261,1565,46,11,685
1/27/22 1:00 AM,294,2605,12984,2261,1517,46,391,641
1/27/22 12:00 AM,294,1761,9556,2262,604,46,6158,606
1/26/22 11:00 PM,292,1204,7518,2261,495,46,10535,645
